aircraft_type,oew,mtom
A320,42600,79000
B772,135850,299000
A333,129400,243000
B788,118000,229000
A21N,46500,96000
A20N,44300,80000
B738,41413,80000
B789,127500,255000
A321,48500,92000
CRJ9,21845,38000
A319,40800,77000
B77W,167830,353000
BCS3,37080,72000
AT76,13010,24000
E190,27837,51000
B763,90000,188000
BCS1,35220,64000
E195,28667,53000
B38M,45100,83000
B739,44677,86000
B737,37648,71000
A359,142400,281000
A332,120600,243000
B39M,45100,89000
A343,131000,277000
A310,79200,145000
B752,58440,117000
B773,160530,300000
C56X,5806,10000
E290,33000,57000